name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Rangi,Uzatma,Kami bor,price
Chevrolet Lacetti,Piskent tumani,2021,1.5 (Gaz-benzin),Sedan,17 000 km,Mexanika,Oq,Oldi,,13200
Chevrolet Spark,Farg'ona,2015,1.3 (Gaz-benzin),Hatchback,86 000 km,Avtomat,Kumush rang,Oldi,,6900
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,151 km,Avtomat,Oq,Oldi,,12000
Chevrolet Nexia 3,Jizzax,2018,1.5 (Gaz-benzin),Sedan,130 000 km,Mexanika,Oq,Oldi,Ha,7387
Chevrolet Nexia 2,Guliston,2016,1.5 (Gibrid),Sedan,216 000 km,Mexanika,Oq,Oldi,,6200
Ford Transit,Buxoro,1996,,Furgon,1 500 km,Mexanika,,Orqa,,7000
Chevrolet Spark,Toshkent,2018,1.3 (Gaz-benzin),Hatchback,175 000 km,Avtomat,Oq,Oldi,Ha,7500
Chevrolet Spark,Toshkent,2018,1.3 (Gaz-benzin),Hatchback,175 000 km,Avtomat,Oq,Oldi,Ha,7500
Opel Vectra,Toshkent,1997,2 (Gaz-benzin),Sedan,327 000 km,Mexanika,,Oldi,Ha,5800
Chevrolet Lacetti,Shahrisabz,2022,1.6 (Benzin),Sedan,,Avtomat,,Oldi,,16620
Toyota Land Cruiser Prado,Nukus,2016,2.7 (Benzin),Yo‘ltanlamas,,Avtomat,Qora,To'liq,,50000
Chevrolet Damas,Qo'qon,2022,0.8 (Benzin),Miniven,,Mexanika,Oq,Orqa,,7952
Daewoo Labo,Qarshi,2005,,Pikup,515 830 km,Mexanika,Qaymoq rang,Orqa,,6464
Chevrolet Spark,Samarqand,2011,1.1 (Gaz-benzin),Hatchback,167 000 km,Mexanika,Sariq,Oldi,,5499
Chevrolet Spark,Bekobod tumani,2017,1.3 (Gaz-benzin),Hatchback,73 000 km,Mexanika,Oq,Oldi,Ha,7000
Chevrolet Cobalt,Namangan,2020,1.5 (Gaz-benzin),Sedan,47 000 km,Mexanika,,Oldi,Ha,11000
Chevrolet Spark,Toshkent,2022,1.3 (Benzin),Hatchback,4 700 km,Avtomat,Oq,Oldi,,9600
Chevrolet Cobalt,Guliston,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11615
Ford Courier,Namangan,1989,,Sedan,777 777 km,Mexanika,Oq,Orqa,Ha,4000
ZAZ Forza,Buxoro,2013,1.5 (Benzin),Hatchback,200 km,Mexanika,,Oldi,,4350
Ravon Nexia R3,Toshkent,2017,,Sedan,247 000 km,Mexanika,Oq,,Ha,7400
Daewoo Nexia,Yangiyer,2008,,Sedan,260 000 km,Mexanika,Kulrang,Oldi,,5500
Daewoo Matiz (Standart),Buxoro,2007,,Sedan,86 000 km,Mexanika,Oq,To'liq,,4000
VAZ (Lada) 2101,Samarqand,1983,,Yo‘ltanlamas,,Mexanika,Qizil,To'liq,,650
Chevrolet Spark,Toshkent,2012,1.3 (Gaz-benzin),Hatchback,223 000 km,Mexanika,Kumush rang,Oldi,Ha,5500
Chevrolet Matiz,Toshkent,2006,0.8 (Gaz-benzin),Hatchback,320 000 km,Mexanika,Kumush rang,Oldi,Ha,2600
Chevrolet Nexia 3,Qarshi,2020,1.5 (Gaz-benzin),Sedan,53 000 km,Mexanika,Oq,Oldi,Ha,9695
Chevrolet Cobalt,Guliston,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11615
Ford Courier,Namangan,1989,,Sedan,777 777 km,Mexanika,Oq,Orqa,Ha,4000
ZAZ Forza,Buxoro,2013,1.5 (Benzin),Hatchback,200 km,Mexanika,,Oldi,,4350
Ravon Nexia R3,Toshkent,2017,,Sedan,247 000 km,Mexanika,Oq,,Ha,7400
Daewoo Nexia,Yangiyer,2008,,Sedan,260 000 km,Mexanika,Kulrang,Oldi,,5500
Daewoo Matiz (Standart),Buxoro,2007,,Sedan,86 000 km,Mexanika,Oq,To'liq,,4000
VAZ (Lada) 2101,Samarqand,1983,,Yo‘ltanlamas,,Mexanika,Qizil,To'liq,,650
Chevrolet Spark,Toshkent,2012,1.3 (Gaz-benzin),Hatchback,223 000 km,Mexanika,Kumush rang,Oldi,Ha,5500
Chevrolet Matiz,Toshkent,2006,0.8 (Gaz-benzin),Hatchback,320 000 km,Mexanika,Kumush rang,Oldi,Ha,2600
Chevrolet Nexia 3,Qarshi,2020,1.5 (Gaz-benzin),Sedan,53 000 km,Mexanika,Oq,Oldi,Ha,9695
GAZ 31105 (Volga),Toshkent,2009,,Sedan,265 000 km,Mexanika,,,Ha,5200
Chevrolet Nexia 3,Xazorasp tumani,2019,1.5 (Gaz-benzin),Sedan,42 000 km,Mexanika,Delfin,Oldi,,9234
Chevrolet Cobalt,Jarqo'rg'on tumani,2021,1.5 (Benzin),Sedan,7 813 km,Mexanika,Oq,Oldi,Ha,12004
Daewoo Tico,Andijon,1997,,Hatchback,,Mexanika,Oq,Oldi,Ha,2000
Chevrolet Cobalt,Buxoro,2020,1.5 (Benzin),Sedan,,Avtomat,,Oldi,,11400
Chevrolet Nexia 2,Farg'ona,2017,1.5 (Gaz),Sedan,170 000 km,Mexanika,Oq,Oldi,,7200
Chevrolet Lacetti,Buxoro,2012,1.8 (Gaz-benzin),Sedan,93 000 km,Mexanika,Oq,Oldi,,8200
Chevrolet Nexia 2,Samarqand,2009,1.6 (Gaz-benzin),Sedan,82 000 km,Mexanika,Qora,Oldi,Ha,4900
Chevrolet Spark,Toshkent,2022,1.3 (Benzin),Hatchback,,Avtomat,Oq,Oldi,,9612
Chevrolet Lacetti,Samarqand,2022,1.6 (Benzin),Sedan,,Avtomat,Oq,Oldi,Ha,15300
Chevrolet Lacetti,Buxoro,2012,1.8 (Gaz-benzin),Sedan,93 000 km,Mexanika,Oq,Oldi,,8200
Chevrolet Nexia 2,Samarqand,2009,1.6 (Gaz-benzin),Sedan,82 000 km,Mexanika,Qora,Oldi,Ha,4900
Chevrolet Spark,Toshkent,2022,1.3 (Benzin),Hatchback,,Avtomat,Oq,Oldi,,9612
Chevrolet Lacetti,Samarqand,2022,1.6 (Benzin),Sedan,,Avtomat,Oq,Oldi,Ha,15300
Chevrolet Cobalt,To'rtko'l tumani,2021,1.5 (Benzin),Sedan,1 500 km,Mexanika,,Oldi,Ha,11542
Chevrolet Damas,Qo'ng'irot tumani,2021,,Miniven,17 000 km,Mexanika,Oq,To'liq,,8310
VAZ (Lada) Niva,Navoiy,1980,1.7 (Gaz),Yo‘ltanlamas,580 000 km,Mexanika,,To'liq,Ha,4340
Chevrolet Cobalt,Navoiy,2020,,Sedan,57 000 km,Avtomat,Oq,,Ha,11450
Chevrolet Nexia 2,Farg'ona,2011,1.6 (Gaz-benzin),Sedan,669 000 km,Mexanika,Kumush rang,Oldi,Ha,4700
Daewoo Nexia,Toshkent,2001,,Sedan,,Mexanika,Kumush rang,,,4000
GAZ 3110 (Volga),Namangan,2000,,Furgon,500 000 km,Mexanika,,Orqa,Ha,3500
Chevrolet Lacetti,Chirchiq,2016,1.5 (Gaz-benzin),Sedan,99 500 km,Mexanika,Oq,Oldi,,12000
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,20 km,Avtomat,Mokriy asfalt,Oldi,Ha,12400
Chevrolet Nexia 3,Qo'qon,2020,1.5 (Gaz-benzin),Sedan,36 450 km,Avtomat,Oq,Oldi,,10300
Chevrolet Nexia 2,Qarshi,2010,1.5 (Gaz-benzin),Sedan,252 000 km,Mexanika,Oq,Oldi,Ha,5355
Daewoo Nexia,Buxoro,2007,,Sedan,200 000 km,Mexanika,Sariq,Oldi,Ha,4400
Chevrolet Spark,Navoiy,2011,1.3 (Gaz-benzin),Hatchback,300 000 km,Avtomat,,Oldi,Ha,5078
Daewoo Tico,Gurlan tumani,1999,,Sedan,600 000 km,Mexanika,,Oldi,Ha,2031
Chevrolet Lacetti,Nukus,2022,1.5 (Benzin),Sedan,,Mexanika,Oq,Oldi,Ha,13019
Chevrolet Epica,Toshkent,2011,2.4 (Benzin),,275 000 km,Avtomat,Qora,Oldi,Ha,8450
Chevrolet Nexia 3,Qo'qon,2020,1.5 (Gaz-benzin),Sedan,36 450 km,Avtomat,Oq,Oldi,,10300
Chevrolet Nexia 2,Qarshi,2010,1.5 (Gaz-benzin),Sedan,252 000 km,Mexanika,Oq,Oldi,Ha,5355
Daewoo Nexia,Buxoro,2007,,Sedan,200 000 km,Mexanika,Sariq,Oldi,Ha,4400
Chevrolet Spark,Navoiy,2011,1.3 (Gaz-benzin),Hatchback,300 000 km,Avtomat,,Oldi,Ha,5078
Daewoo Tico,Gurlan tumani,1999,,Sedan,600 000 km,Mexanika,,Oldi,Ha,2031
Chevrolet Lacetti,Nukus,2022,1.5 (Benzin),Sedan,,Mexanika,Oq,Oldi,Ha,13019
Chevrolet Epica,Toshkent,2011,2.4 (Benzin),,275 000 km,Avtomat,Qora,Oldi,Ha,8450
Chevrolet Spark,Bekobod,2011,1.3 (Gaz-benzin),Hatchback,139 036 km,Mexanika,Qora,Oldi,,5000
Chevrolet Cobalt,Qarshi,2021,1.5 (Benzin),Sedan,7 000 km,Mexanika,Oq,Oldi,Ha,11819
VAZ (Lada) 2107,Nukus,2004,1.5 (Gaz-benzin),Sedan,200 000 km,Mexanika,Yashil,Orqa,,3509
Moskvich 412,Xo'jayli tumani,1990,,Sedan,,Mexanika,Qaymoq rang,,Ha,462
Chevrolet Nexia 2,Samarqand,2016,1.5 (Benzin),Sedan,28 700 km,Mexanika,Oq,Oldi,Ha,7800
Chevrolet Nexia 2,Samarqand,2009,1.5 (Benzin),Sedan,22 698 km,Mexanika,Kumush rang,Oldi,,6500
Chevrolet Nexia 2,Samarqand,2016,1.6 (Gaz-benzin),Sedan,21 000 km,Mexanika,Oq,Oldi,,7800
Chevrolet Nexia 2,Samarqand,2013,1.5 (Benzin),Sedan,27 000 km,Mexanika,Oq,Oldi,Ha,6700
FAW Bestune T77,Toshkent,2020,1.2 (Benzin),Hatchback,10 000 km,Tiptronik,Oq,Oldi,Ha,32000
Chevrolet Nexia 2,Samarqand,2010,1.5 (Gaz-benzin),Sedan,50 000 km,Mexanika,Oq,Oldi,,6300
Chevrolet Nexia 3,Samarqand,2020,1.5 (Gaz-benzin),Sedan,34 000 km,Mexanika,Oq,Oldi,,8900
Chevrolet Nexia 2,Samarqand,2015,1.5 (Gaz-benzin),Sedan,31 000 km,Mexanika,Oq,Oldi,,7800
Chevrolet Nexia 2,Samarqand,2015,1.5 (Benzin),Sedan,562 km,Mexanika,Oq,Oldi,,9500
Chevrolet Nexia 2,Samarqand,2013,1.5 (Benzin),Sedan,27 000 km,Mexanika,Oq,Oldi,Ha,6700
FAW Bestune T77,Toshkent,2020,1.2 (Benzin),Hatchback,10 000 km,Tiptronik,Oq,Oldi,Ha,32000
Chevrolet Nexia 2,Samarqand,2010,1.5 (Gaz-benzin),Sedan,50 000 km,Mexanika,Oq,Oldi,,6300
Chevrolet Nexia 3,Samarqand,2020,1.5 (Gaz-benzin),Sedan,34 000 km,Mexanika,Oq,Oldi,,8900
Chevrolet Nexia 2,Samarqand,2015,1.5 (Gaz-benzin),Sedan,31 000 km,Mexanika,Oq,Oldi,,7800
Chevrolet Nexia 2,Samarqand,2015,1.5 (Benzin),Sedan,562 km,Mexanika,Oq,Oldi,,9500
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,8 000 km,Avtomat,Oq,Oldi,,14500
Chevrolet Nexia 2,Samarqand,2013,1.5 (Gaz-benzin),Sedan,32 000 km,Mexanika,Oq,Oldi,,7200
Chevrolet Nexia 2,Samarqand,2012,1.5 (Gaz-benzin),Sedan,,Mexanika,,Oldi,,6600
VAZ (Lada) Самара (седан 21099),Farg'ona,1993,,Universal,80 000 km,Mexanika,,To'liq,Ha,2800
Chevrolet Cruze,Farg'ona,2009,1.8 (Gaz-benzin),Sedan,193 000 km,Avtomat,,Oldi,,10000
Chevrolet Malibu 2,Urganch,2019,1.5 (Benzin),Sedan,42 000 km,Avtomat,,Oldi,,24400
Chevrolet Nexia 3,Nukus,2020,1.5 (Gaz-benzin),Sedan,32 000 km,Mexanika,,Oldi,,9418
Chevrolet Tracker,Urganch,2019,,,67 000 km,Avtomat,,,Ha,17000
VAZ (Lada) Самара (седан 21099),Buxoro,1995,1.8 (Gaz-benzin),Sedan,,Mexanika,,Oldi,Ha,2600
Chevrolet Damas,Urganch,2018,,Miniven,65 000 km,Mexanika,,,,6925
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Krossover,21 000 km,Avtomat,Oq,,,19000
GAZ 31105 (Volga),Toshkent,2006,,Sedan,295 000 km,Mexanika,,Oldi,Ha,2400
Moskvich 2141,Toshkent,1990,,Hatchback,,Mexanika,Jigar rang,Oldi,Ha,2031
VAZ (Lada) 2107,Marg'ilon,2008,1.6 (Gaz-benzin),Sedan,99 999 km,Mexanika,Oq,Orqa,,3500
Chevrolet Epica,Toshkent,2011,2.4 (Benzin),,275 000 km,Avtomat,Qora,Oldi,Ha,8450
Chevrolet Spark,Bekobod,2011,1.3 (Gaz-benzin),Hatchback,139 036 km,Mexanika,Qora,Oldi,,5000
Chevrolet Cobalt,Qarshi,2021,1.5 (Benzin),Sedan,7 000 km,Mexanika,Oq,Oldi,Ha,11819
VAZ (Lada) 2107,Nukus,2004,1.5 (Gaz-benzin),Sedan,200 000 km,Mexanika,Yashil,Orqa,,3509
Moskvich 412,Xo'jayli tumani,1990,,Sedan,,Mexanika,Qaymoq rang,,Ha,462
Chevrolet Nexia 2,Samarqand,2016,1.5 (Benzin),Sedan,28 700 km,Mexanika,Oq,Oldi,Ha,7800
Chevrolet Nexia 2,Samarqand,2009,1.5 (Benzin),Sedan,22 698 km,Mexanika,Kumush rang,Oldi,,6500
Chevrolet Nexia 2,Samarqand,2016,1.6 (Gaz-benzin),Sedan,21 000 km,Mexanika,Oq,Oldi,,7800
Chevrolet Nexia 2,Samarqand,2013,1.5 (Benzin),Sedan,27 000 km,Mexanika,Oq,Oldi,Ha,6700
FAW Bestune T77,Toshkent,2020,1.2 (Benzin),Hatchback,10 000 km,Tiptronik,Oq,Oldi,Ha,32000
Chevrolet Nexia 2,Samarqand,2010,1.5 (Gaz-benzin),Sedan,50 000 km,Mexanika,Oq,Oldi,,6300
Chevrolet Nexia 3,Samarqand,2020,1.5 (Gaz-benzin),Sedan,34 000 km,Mexanika,Oq,Oldi,,8900
Chevrolet Nexia 2,Samarqand,2015,1.5 (Gaz-benzin),Sedan,31 000 km,Mexanika,Oq,Oldi,,7800
Chevrolet Nexia 2,Samarqand,2015,1.5 (Benzin),Sedan,562 km,Mexanika,Oq,Oldi,,9500
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,8 000 km,Avtomat,Oq,Oldi,,14500
Chevrolet Nexia 2,Samarqand,2013,1.5 (Gaz-benzin),Sedan,32 000 km,Mexanika,Oq,Oldi,,7200
Chevrolet Nexia 2,Samarqand,2012,1.5 (Gaz-benzin),Sedan,,Mexanika,,Oldi,,6600
VAZ (Lada) Самара (седан 21099),Farg'ona,1993,,Universal,80 000 km,Mexanika,,To'liq,Ha,2800
Chevrolet Cruze,Farg'ona,2009,1.8 (Gaz-benzin),Sedan,193 000 km,Avtomat,,Oldi,,10000
Chevrolet Malibu 2,Urganch,2019,1.5 (Benzin),Sedan,42 000 km,Avtomat,,Oldi,,24400
Chevrolet Nexia 2,Samarqand,2013,1.5 (Gaz-benzin),Sedan,32 000 km,Mexanika,Oq,Oldi,,7200
Chevrolet Nexia 2,Samarqand,2012,1.5 (Gaz-benzin),Sedan,,Mexanika,,Oldi,,6600
VAZ (Lada) Самара (седан 21099),Farg'ona,1993,,Universal,80 000 km,Mexanika,,To'liq,Ha,2800
Chevrolet Cruze,Farg'ona,2009,1.8 (Gaz-benzin),Sedan,193 000 km,Avtomat,,Oldi,,10000
Chevrolet Malibu 2,Urganch,2019,1.5 (Benzin),Sedan,42 000 km,Avtomat,,Oldi,,24400
Chevrolet Nexia 3,Nukus,2020,1.5 (Gaz-benzin),Sedan,32 000 km,Mexanika,,Oldi,,9418
Chevrolet Tracker,Urganch,2019,,,67 000 km,Avtomat,,,Ha,17000
VAZ (Lada) Самара (седан 21099),Buxoro,1995,1.8 (Gaz-benzin),Sedan,,Mexanika,,Oldi,Ha,2600
Chevrolet Damas,Urganch,2018,,Miniven,65 000 km,Mexanika,,,,6925
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Krossover,21 000 km,Avtomat,Oq,,,19000
GAZ 31105 (Volga),Toshkent,2006,,Sedan,295 000 km,Mexanika,,Oldi,Ha,2400
Moskvich 2141,Toshkent,1990,,Hatchback,,Mexanika,Jigar rang,Oldi,Ha,2031
VAZ (Lada) 2107,Marg'ilon,2008,1.6 (Gaz-benzin),Sedan,99 999 km,Mexanika,Oq,Orqa,,3500
Chevrolet Captiva,Toshkent,2018,3 (Benzin),Krossover,29 000 km,Avtomat,Mokriy asfalt,To'liq,Ha,25500
Chevrolet Damas,Nukus,2022,,Sedan,16 000 km,Mexanika,,,,9049
Chevrolet Cobalt,Nukus,2020,1.5 (Gaz-benzin),Sedan,5 300 km,Mexanika,,Oldi,Ha,12004
Chevrolet Damas,Xiva tumani,2022,,Miniven,500 km,Mexanika,,,Ha,8680
Chevrolet Nexia 2,Qarshi,2008,1.5 (Gaz-benzin),Sedan,400 000 km,Mexanika,Oq,Oldi,Ha,6002
Chevrolet Nexia 2,Navoiy,2012,1.6 (Gaz-benzin),Sedan,150 000 km,Mexanika,,Oldi,Ha,5263
Chevrolet Cobalt,Samarqand,2014,1.5 (Gaz-benzin),Sedan,1 897 km,Mexanika,Oq,Oldi,Ha,8000
Chevrolet Damas,Xiva tumani,2022,,Miniven,500 km,Mexanika,,,Ha,8680
Chevrolet Nexia 2,Qarshi,2008,1.5 (Gaz-benzin),Sedan,400 000 km,Mexanika,Oq,Oldi,Ha,6002
Chevrolet Nexia 2,Navoiy,2012,1.6 (Gaz-benzin),Sedan,150 000 km,Mexanika,,Oldi,Ha,5263
Chevrolet Cobalt,Samarqand,2014,1.5 (Gaz-benzin),Sedan,1 897 km,Mexanika,Oq,Oldi,Ha,8000
VAZ (Lada) 2106,Namangan,2001,,Sedan,17 820 km,Mexanika,,Orqa,Ha,2100
Chevrolet Spark,Chiroqchi tumani,2012,1.3 (Benzin),Hatchback,125 000 km,Mexanika,Qora,Oldi,,6500
Chevrolet Spark,Kegeyli tumani,2018,1.3 (Gaz-benzin),Hatchback,40 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,8310
Daewoo Labo,Jizzax,2020,,Furgon,23 000 km,Mexanika,Oq,Orqa,Ha,10000
VAZ (Lada) Самара 2 (седан 2115),Koson tumani,2008,1.8 (Gaz-benzin),Sedan,268 000 km,Mexanika,Kumush rang,,Ha,3693
Chevrolet Lacetti,Namangan,2020,1.6 (Benzin),Sedan,82 000 km,Avtomat,Qora,Oldi,Ha,13800
Chevrolet Nexia 3,Namangan,2019,1.5 (Gaz-benzin),Sedan,36 000 km,Mexanika,Oq,Oldi,Ha,9300
Chevrolet Tracker,Namangan,2019,,,68 000 km,Avtomat,Oq,,Ha,17000
Opel Rekord,Toshkent,1982,2 (Gaz-benzin),Sedan,,Mexanika,,Orqa,,1477
Chevrolet Lacetti,Samarqand,2021,1.6 (Gaz-benzin),Sedan,270 km,Avtomat,Qora,Oldi,,15700
Daewoo Damas,Toshkent,1997,,Sedan,300 000 km,Mexanika,,Orqa,Ha,4500
GAZ 31029 (Volga),Andijon,1993,,Sedan,,Mexanika,Oq,,,2308
VAZ (Lada) 2107,Buxoro,2008,,Sedan,120 000 km,Mexanika,Ko'k,Orqa,,3693
VAZ (Lada) Kalina,Termiz,2008,1.6 (Gaz-benzin),Hatchback,184 000 km,Mexanika,Kumush rang,Oldi,,4500
VAZ (Lada) Samara (hatchback 2108),Navoiy,1989,6 (Benzin),Hatchback,30 005 km,Mexanika,Yashil,Oldi,Ha,1385
GAZ 31029 (Volga),Qarshi,1994,2.5 (Gaz-benzin),Sedan,5 000 km,Mexanika,Oq,Orqa,,1477
GAZ 31029 (Volga),Andijon,1993,,Sedan,,Mexanika,Oq,,,2308
VAZ (Lada) 2107,Buxoro,2008,,Sedan,120 000 km,Mexanika,Ko'k,Orqa,,3693
VAZ (Lada) Kalina,Termiz,2008,1.6 (Gaz-benzin),Hatchback,184 000 km,Mexanika,Kumush rang,Oldi,,4500
VAZ (Lada) Samara (hatchback 2108),Navoiy,1989,6 (Benzin),Hatchback,30 005 km,Mexanika,Yashil,Oldi,Ha,1385
GAZ 31029 (Volga),Qarshi,1994,2.5 (Gaz-benzin),Sedan,5 000 km,Mexanika,Oq,Orqa,,1477
Chevrolet Nexia 2,Buxoro,2005,1.5 (Gaz-benzin),Sedan,180 000 km,Mexanika,Kumush rang,Oldi,Ha,5500
Chevrolet Lacetti,Buxoro,2022,1.8 (Benzin),Sedan,,Mexanika,Oq,Oldi,Ha,12700
Chevrolet Malibu,Toshkent,2014,2.4 (Benzin),Sedan,152 000 km,Avtomat,Qora,Oldi,,15882
Chevrolet Damas,Qo'qon,2022,,Yo‘ltanlamas,,Mexanika,Oq,Orqa,,8500
VAZ (Lada) 2106,Jizzax,1988,1.4 (Gaz-benzin),Sedan,999 km,Mexanika,Qaymoq rang,Orqa,,1108
VAZ (Lada) 2106,Jizzax,1988,3 (Gaz-benzin),Sedan,999 999 km,Mexanika,,Orqa,,1385
VAZ (Lada) 2106,G'allaorol tumani,1988,,Sedan,999 km,Mexanika,,Orqa,,1108
Daewoo Tico,Samarqand,1997,1.3 (Benzin),Hatchback,,Mexanika,Oq,Oldi,Ha,1900
Chevrolet Nexia 2,Ishtixon tumani,2012,1.6 (Gaz-benzin),Sedan,250 km,Mexanika,Delfin,Oldi,,5540
Chevrolet Matiz Best,Toshkent,2015,1 (Gaz-benzin),Hatchback,200 000 km,Mexanika,Kumush rang,Oldi,Ha,5000
Ford Courier,Termiz,1994,1.8 (Gaz),Sedan,,Mexanika,Oq,,Ha,2400
VAZ (Lada) 2107,Toshkent,2008,,Sedan,59 120 km,Mexanika,Qora,Oldi,,4500
Chevrolet Matiz Best,Toshkent,2017,1 (Benzin),Hatchback,203 000 km,Mexanika,Oq,Oldi,,5800
Moskvich 412,Shovot tumani,1986,1.5 (Gaz-benzin),Sedan,138 000 km,Mexanika,,Orqa,Ha,2200
Daewoo Nexia II,Konimex tumani,2009,1.6 (Gaz-benzin),Sedan,366 000 km,Mexanika,Kulrang,Oldi,Ha,5078
Chevrolet Nexia 2,Buxoro,2005,1.5 (Gaz-benzin),Sedan,180 000 km,Mexanika,Kumush rang,Oldi,Ha,5500
Chevrolet Lacetti,Buxoro,2022,1.8 (Benzin),Sedan,,Mexanika,Oq,Oldi,Ha,12700
Chevrolet Malibu,Toshkent,2014,2.4 (Benzin),Sedan,152 000 km,Avtomat,Qora,Oldi,,15882
Chevrolet Damas,Qo'qon,2022,,Yo‘ltanlamas,,Mexanika,Oq,Orqa,,8500
VAZ (Lada) 2106,Jizzax,1988,1.4 (Gaz-benzin),Sedan,999 km,Mexanika,Qaymoq rang,Orqa,,1108
VAZ (Lada) 2106,Jizzax,1988,3 (Gaz-benzin),Sedan,999 999 km,Mexanika,,Orqa,,1385
VAZ (Lada) 2106,G'allaorol tumani,1988,,Sedan,999 km,Mexanika,,Orqa,,1108
Daewoo Tico,Samarqand,1997,1.3 (Benzin),Hatchback,,Mexanika,Oq,Oldi,Ha,1900
Chevrolet Nexia 2,Ishtixon tumani,2012,1.6 (Gaz-benzin),Sedan,250 km,Mexanika,Delfin,Oldi,,5540
Chevrolet Matiz Best,Toshkent,2015,1 (Gaz-benzin),Hatchback,200 000 km,Mexanika,Kumush rang,Oldi,Ha,5000
Ford Courier,Termiz,1994,1.8 (Gaz),Sedan,,Mexanika,Oq,,Ha,2400
VAZ (Lada) 2107,Toshkent,2008,,Sedan,59 120 km,Mexanika,Qora,Oldi,,4500
Chevrolet Matiz Best,Toshkent,2017,1 (Benzin),Hatchback,203 000 km,Mexanika,Oq,Oldi,,5800
Moskvich 412,Shovot tumani,1986,1.5 (Gaz-benzin),Sedan,138 000 km,Mexanika,,Orqa,Ha,2200
Daewoo Nexia II,Konimex tumani,2009,1.6 (Gaz-benzin),Sedan,366 000 km,Mexanika,Kulrang,Oldi,Ha,5078
Mercedes-Benz E 230,Toshkent,1996,2.3 (Benzin),Sedan,401 000 km,Mexanika,Oq,Orqa,Ha,8000
Daewoo Nexia,Konimex tumani,1997,1.5 (Gaz-benzin),Sedan,,Mexanika,Sariq,Oldi,,4155
VAZ (Lada) 2106,Guliston,1984,,Sedan,,Mexanika,,Orqa,,1450
BMW 325,Olmaliq,1992,2.5 (Gaz-benzin),Sedan,440 000 km,Mexanika,Olcha,Orqa,Ha,5500
Chevrolet Cobalt,Nukus,2021,1.5 (Gaz-benzin),Sedan,12 500 km,Avtomat,Mokriy asfalt,Oldi,,12742
Chevrolet Cobalt,Nukus,2021,1.5 (Gaz-benzin),Sedan,12 500 km,Avtomat,Mokriy asfalt,Oldi,,12742
Daewoo Damas,Toshkent,1998,,Sedan,,Mexanika,,Orqa,,3693
Chevrolet Lacetti,Samarqand,2018,1.6 (Gaz-benzin),Sedan,40 000 km,Avtomat,Qora,Oldi,,12500
Chevrolet Tracker,Samarqand,2019,,,110 000 km,Avtomat,Mokriy asfalt,,Ha,16500
Chevrolet Nexia 2,Urganch,2014,1.5 (Gaz-benzin),Sedan,67 000 km,Mexanika,,Oldi,Ha,6925
LuAZ 967,Navoiy,1990,2 (Benzin),Yo‘ltanlamas,,Mexanika,Ko'k,To'liq,,923
Chevrolet Lacetti,Navoiy,2009,1.8 (Gaz-benzin),Sedan,300 000 km,Mexanika,,Oldi,Ha,6464
Chevrolet Lacetti,Buxoro,2017,1.5 (Gaz-benzin),Sedan,49 555 km,Mexanika,,Oldi,,10000
Nissan Sunny,Toshkent,1994,1.4 (Benzin),Sedan,,Mexanika,,Oldi,Ha,5200
GAZ 31105 (Volga),Shovot tumani,2008,2.4 (Gaz-benzin),Sedan,162 000 km,Mexanika,Kumush rang,Oldi,Ha,4617
Chevrolet Damas,Termiz,2022,,Sedan,76 km,Mexanika,Oq,,Ha,9234
Chevrolet Spark,Toshkent,2014,1.3 (Benzin),Hatchback,76 000 km,Mexanika,Oq,Oldi,,6000
Chevrolet Lacetti,Farg'ona,2009,1.8 (Gaz-benzin),Sedan,582 km,Mexanika,Oq,Oldi,,6800
VAZ (Lada) Niva,Samarqand,1991,7.7 (Gaz-benzin),Yo‘ltanlamas,,Mexanika,To'q qizil,To'liq,,4800
Ford Transit,Buxoro,1994,,Sedan,,Mexanika,,Orqa,,5540
Chevrolet Spark,Toshkent,2012,1 (Gaz-benzin),Hatchback,260 000 km,Mexanika,Ko'k,Oldi,,5400
VAZ (Lada) 2102,Toshkent,1983,1.7 (Gaz-benzin),Furgon,600 000 km,Mexanika,Oq,Orqa,Ha,1300
Chevrolet Lacetti,Nukus,2021,1.8 (Gaz-benzin),Sedan,1 970 km,Mexanika,,Oldi,,13112
Daewoo Matiz (Standart),Toshkent,2005,0.8 (Benzin),Sedan,530 000 km,Mexanika,Qizil,Oldi,Ha,3000
VAZ (Lada) 2106,Qanliko'l tumani,1988,2.8 (Benzin),Sedan,85 255 km,Mexanika,Oq,Orqa,,1847
VAZ (Lada) 2106,Qanliko'l tumani,1988,2.8 (Benzin),Sedan,85 255 km,Mexanika,Oq,Orqa,,1847
Chevrolet Lacetti,Jizzax,2010,1.8 (Benzin),Sedan,136 000 km,Mexanika,Oq,Oldi,Ha,6800
